SMM4H2022rZ604dAppHEgW0eE	addiction	10001125
SMM4H2022abr0OQs8okhO3F1M	dreams	10013632
SMM4H2022PInYkYqdCaYoOMHW	sun sensitivity	10042494
SMM4H2022kj75P73z8raG9D5M	weight gain	10047896
SMM4H20221gMMy4c5pFbIYXpE	zombieish	10016384
SMM4H2022ln1yHLJYGxK0tvGO	light nights sleep	10040995
SMM4H2022IHybeqCT2oRARJlu	sweatin	10042661
SMM4H2022aIYAHWf4HBgj52hp	brain so retarded	10027374
SMM4H202280H6GSvA1HFITRkC	gastic upset	10046317
SMM4H2022lRmiVKCnPwZBP37M	nap	10011865
SMM4H2022mQX8Uwh2MeAyx0vv	withdrawal	10073281
SMM4H2022UIXArsYjQ9fMwI4H	shaky	10040528
SMM4H2022WYlG44rGLAMzXI7I	heart rate	10019304
SMM4H2022WjGLwsETJIENmrJJ	sleepies	10041014
SMM4H2022xUuEe5qp3vZY144W	crazy	10037234
SMM4H20228cuioIXvYfiRZ4jv	hurt	10033371
SMM4H2022FdTorKia743f8oX2	feel hot	10065015
SMM4H2022FdTorKia743f8oX2	sweating	10042661
SMM4H2022Wh5BgCEutjAsILyO	dyslexic	10013932
SMM4H2022vx0oZQy12tkjRIPz	cannot be in the sun	10042494
SMM4H2022TIrTKWWfCAO02Uli	cant sleep	10041001
SMM4H2022TIrTKWWfCAO02Uli	craving	10056484
SMM4H2022Dd6AFmou1yEhnoRH	barely able to stay awake	10041014
SMM4H20228zyP7ZWneGoetY6M	difficult to come off	10048010
SMM4H2022Pnl1fVP8pycgcugd	gained over 30lbs	10047896
SMM4H2022Pnl1fVP8pycgcugd	appetite	10021654
SMM4H20223wRT70sBQURHsKEE	making me stupid	10027175
SMM4H2022WrDsctt80lnF7suS	drunk	10013767
SMM4H2022WDJyq2OdnyWLMJT5	sleeping	10041014
SMM4H2022WDJyq2OdnyWLMJT5	knackered when I wake	10018732
SMM4H2022nWG1t3YGOaL80SEc	slur	10041053
SMM4H2022OjDAlww1rH9bbUhW	back pain	10003988
SMM4H2022X0coJTr3qC19JXST	appetite	10074314
SMM4H2022xPmAaH9Kvenuxhu2	gain alot of weight	10047896
SMM4H2022PHaTAtxs8MUXKgxV	make those numbers bigger	10047896
SMM4H2022zS5jwcGxhKiV9M6s	restless legs	10038742
SMM4H20222sbwdYiQfnBCsPsl	priapism	10036661
SMM4H20220mSmvlK5h4hXJNh9	anxious	10016323
SMM4H20220mSmvlK5h4hXJNh9	stomach	10042112
SMM4H20220mSmvlK5h4hXJNh9	head pain	10019198
SMM4H20220mSmvlK5h4hXJNh9	withdrawal	10073281
SMM4H2022DNWR10SKNZOERYWL	Horrendous venlafaxine dream	10004063
SMM4H2022GEEGMyvixhP65MzB	anxiety	10002855
SMM4H2022GEEGMyvixhP65MzB	irrational	10022989
SMM4H2022cjwbGQbnkpVjjJzR	cotton mouth	10013781
SMM4H2022lX1A8RVuySkDzAB2	couldn't fall asleep	10044698
SMM4H2022qZC2BPG2BW7UC175	OCD	10029898
SMM4H20226b5WyZPTAJ7qL3dE	addicted	10012336
SMM4H20220LbDv7WiGBW7nQR4	gained 30 lbs	10047896
